"data_id" "activity_type" "subject_id" "direction" "mean of means of acceleration on body over time" "mean of means of gravitational acceleration signal over time" "mean of means of jerk on body over time" "mean of means of gyroscopic acceleration on body over time" "mean of means of gyroscopic jerk on body over time" "mean of standard deviations of acceleration on body over time" "mean of standard deviations of gravitational acceleration signal over time" "mean of standard deviations of jerk on body over time" "mean of standard deviations of gyroscopic acceleration on body over time" "mean of standard deviations of gyroscopic jerk on body over time" "mean of means of body acceleration frequency signal" "mean of means of jerk frequency signals" "mean of means of gyroscopic frequency signal of body" "mean of standard deviations of acceleration frequency signal" "mean of standard deviations of jerk frequency signal" "mean of standard deviations of gyroscopic frequency signal of body"
"sitting-11-Y" "sitting" "11" "Y" -0.0149195616754717 0.27314958 -0.41968839 -0.061139064 -0.049585898 -0.921402118113208 -0.23833219 -0.96104416 -0.98453218 -0.99322179 -0.934503182830189 -0.97200837 -0.98561636 -0.920047161698113 -0.95238677 -0.98387708
"sitting-11-Z" "sitting" "11" "Z" -0.112840218339623 0.27137369 0.081109828 0.40621298 -0.0501332 -0.968370181886792 -0.83297532 -0.98312515 -0.97288982 -0.98992868 -0.972855110377359 -0.98007949 -0.97676645 -0.967884390943396 -0.98481107 -0.97392998
"sitting-12-X" "sitting" "12" "X" 0.275007224901961 0.81832483 0.11983367 -0.060918099 -0.098045006 -0.982568781960784 -0.81731994 -0.98064728 -0.96583744 -0.95297851 -0.97966614372549 -0.98109869 -0.9499772 -0.98399947745098 -0.98184014 -0.97109747
"sitting-12-Y" "sitting" "12" "Y" -0.0157892988523529 0.29574938 -0.12048204 -0.33195184 -0.053762038 -0.92858124 -0.7558657 -0.96080138 -0.96711712 -0.9684317 -0.942768016862745 -0.96070625 -0.95984983 -0.926033975686275 -0.96375467 -0.97272971
"sitting-12-Z" "sitting" "12" "Z" -0.106307228960784 0.34816667 -0.090226888 0.36769349 -0.066865569 -0.939661889019608 -0.7630494 -0.9742757 -0.96252407 -0.9844544 -0.954626628823529 -0.96936259 -0.96970285 -0.935916958235294 -0.97802202 -0.96354818
"sitting-13-X" "sitting" "13" "X" 0.274328499591837 0.89412145 -0.0053225354 0.074780246 -0.089638672 -0.989546275306122 -0.71354334 -0.93039637 -0.95413369 -0.9364772 -0.990135477755102 -0.9310437 -0.93592662 -0.989410582653061 -0.93598362 -0.96001567
"sitting-13-Y" "sitting" "13" "Y" -0.00587732936326531 0.07877604 -0.38113524 -0.48542398 -0.10740778 -0.938967741632653 -0.14294494 -0.92050469 -0.90488171 -0.94526877 -0.959673916122449 -0.92070794 -0.89668915 -0.933666502510204 -0.92600398 -0.91090432
"sitting-13-Z" "sitting" "13" "Z" -0.0972465110836735 0.11504631 -0.80727277 0.34817342 0.0059217653 -0.938641215510204 0.56096027 -0.94077089 -0.93497758 -0.96600875 -0.956183063510204 -0.93587356 -0.91739688 -0.934189007346939 -0.94396069 -0.94782287
"sitting-14-X" "sitting" "14" "X" 0.279990577037037 0.97857016 0.071765989 -0.094498234 -0.085565589 -0.976302248148148 -0.95729709 -0.96149364 -0.97162262 -0.98475403 -0.976456609259259 -0.96026402 -0.96801219 -0.976303056851852 -0.96653619 -0.97275664
"sitting-14-Y" "sitting" "14" "Y" -0.00870565463888889 -0.0051080993 -0.14500603 -0.25924647 -0.061886197 -0.914935703907407 -0.77532251 -0.94548198 -0.92786057 -0.97269083 -0.932644766111111 -0.94151211 -0.93841943 -0.911591208203704 -0.95501676 -0.92238189
"sitting-14-Z" "sitting" "14" "Z" -0.100401490425926 0.10929019 -0.038480106 0.41236783 -0.12160835 -0.922774835740741 -0.82063029 -0.96459838 -0.88503024 -0.97446043 -0.944126078888889 -0.96073963 -0.89364133 -0.917678155296296 -0.96688789 -0.89261113
"sitting-15-X" "sitting" "15" "X" 0.27290337979661 0.8151591 0.15349607 -0.051260696 -0.12496336 -0.987084356101695 -0.75409241 -0.9561767 -0.96859165 -0.97288624 -0.986619609491525 -0.9522826 -0.96203415 -0.987384778983051 -0.96536471 -0.97060209
"sitting-15-Y" "sitting" "15" "Y" -0.0117188472271186 0.2744008 -0.67788016 -0.27415717 -0.10490366 -0.922407162881356 0.21506327 -0.91607115 -0.91894635 -0.9584206 -0.938926430779661 -0.92074518 -0.91157337 -0.919162700338983 -0.91636926 -0.92434979
"sitting-15-Z" "sitting" "15" "Z" -0.11366125320339 0.20073788 -0.44882853 0.43229561 -0.0056712007 -0.949338025084746 -0.27767841 -0.96713707 -0.84895771 -0.95362966 -0.963227004915254 -0.9642422 -0.87282272 -0.945704713050847 -0.96838833 -0.85543365
"sitting-16-X" "sitting" "16" "X" 0.280768574492754 0.84796294 -0.12550522 0.01500922 -0.11151394 -0.986825605362319 -0.31508478 -0.98099101 -0.97719122 -0.98792977 -0.987043828985507 -0.98262694 -0.97328358 -0.986892418405797 -0.98081244 -0.97837377
"sitting-16-Y" "sitting" "16" "Y" -0.0102497939956522 -0.18002068 -0.29119003 -0.16800611 -0.067296663 -0.951607872463768 -0.48334128 -0.95702783 -0.95296183 -0.98349057 -0.961456685507246 -0.95927532 -0.95806589 -0.949829260434783 -0.95729645 -0.95023852
"sitting-16-Z" "sitting" "16" "Z" -0.0891404038405797 -0.35094005 -0.48364101 0.1847856 -0.011739206 -0.939672247101449 0.024247838 -0.96820632 -0.92751422 -0.9823879 -0.959552230434783 -0.96357149 -0.92919425 -0.934652146521739 -0.97144922 -0.93339236
"sitting-17-X" "sitting" "17" "X" 0.2773570196875 0.94804725 0.026836178 -0.077122843 -0.065073478 -0.9944439053125 -0.88541304 -0.97682209 -0.96245754 -0.97880975 -0.9939693815625 -0.97754594 -0.94859549 -0.99465731359375 -0.97804635 -0.96687368
"sitting-17-Y" "sitting" "17" "Y" -0.014156274084375 -0.023439589 -0.081384508 -0.17771852 0.00047640298 -0.96185862984375 -0.64801718 -0.93946917 -0.94357856 -0.95149645 -0.96992798921875 -0.93618278 -0.93478135 -0.959789141875 -0.94843931 -0.95011626
"sitting-17-Z" "sitting" "17" "Z" -0.11362408509375 -0.12090268 -0.16842416 0.18565772 0.0011828416 -0.96572919578125 -0.68039421 -0.96240041 -0.89823356 -0.96457963 -0.97484160453125 -0.95389982 -0.89829443 -0.96292107328125 -0.97037609 -0.90732862
"sitting-18-X" "sitting" "18" "X" 0.27727001877193 0.79843629 0.097187109 -0.043484459 -0.093394545 -0.994347988596491 -0.96369769 -0.96431602 -0.97540558 -0.97309284 -0.993144920175439 -0.96244524 -0.96692466 -0.994906565789474 -0.96995899 -0.97807454
"sitting-18-Y" "sitting" "18" "Y" -0.0128691279736842 0.33861148 -0.082431348 -0.12768713 -0.0044392735 -0.974928131052632 -0.7983359 -0.95119498 -0.92819394 -0.96536108 -0.976538530350877 -0.94791708 -0.93232379 -0.974980068596491 -0.95937493 -0.92613633
"sitting-18-Z" "sitting" "18" "Z" -0.111904775824561 0.30481446 -0.010968294 0.18519514 -0.068028774 -0.977572717017544 -0.92465388 -0.98220505 -0.93011772 -0.96698021 -0.982996441403509 -0.98070942 -0.93706742 -0.975722121403509 -0.9820744 -0.93411659
"sitting-19-X" "sitting" "19" "X" 0.273830316164384 0.40573023 0.16496916 -0.047467159 -0.082123399 -0.976357663013699 -0.71033811 -0.98659567 -0.98718374 -0.97624592 -0.979238031780822 -0.9865141 -0.97681966 -0.975204245342466 -0.98789588 -0.99131797
"sitting-19-Y" "sitting" "19" "Y" -0.016739260030137 0.45452518 -0.12163448 -0.43509159 -0.028610163 -0.950388943972603 -0.7877144 -0.9784916 -0.96092427 -0.99228895 -0.960763181917808 -0.9809557 -0.97676572 -0.948053070136986 -0.97700264 -0.95367796
"sitting-19-Z" "sitting" "19" "Z" -0.10870765430137 0.67208228 -0.081672258 0.44826878 -0.070235598 -0.951929615068493 -0.80763594 -0.98720888 -0.93064417 -0.98847873 -0.96633509109589 -0.98369701 -0.95704444 -0.947514931780822 -0.98964917 -0.92979454
"sitting-2-X" "sitting" "2" "X" 0.27708735173913 0.95201324 0.074167624 -0.050171548 -0.092742071 -0.986822279565217 -0.97442821 -0.98766148 -0.98222253 -0.97836982 -0.985803840652174 -0.98622758 -0.974845 -0.98736209 -0.99073206 -0.98460294
"sitting-2-Y" "sitting" "2" "Y" -0.0156879937282609 -0.12719693 -0.088429566 -0.073211502 -0.016699782 -0.950704499130435 -0.87785609 -0.95062266 -0.95870792 -0.98580596 -0.957343498478261 -0.94453649 -0.96180088 -0.950073754130435 -0.96343171 -0.95706297
"sitting-2-Z" "sitting" "2" "Z" -0.109218272456522 0.17324768 -0.00057513147 0.1837903 -0.11955963 -0.95982817173913 -0.9336702 -0.98048751 -0.92994218 -0.9740108 -0.970162172608696 -0.97477076 -0.91597823 -0.956862864130435 -0.98561403 -0.94151623
"sitting-20-X" "sitting" "20" "X" 0.278045439090909 0.88259715 0.12637493 -0.036658479 -0.09962607 -0.983081858939394 -0.88691641 -0.9739547 -0.97596945 -0.98748762 -0.981203064242424 -0.97307902 -0.97641707 -0.98397837530303 -0.97741976 -0.97599954
"sitting-20-Y" "sitting" "20" "Y" -0.0147229305131818 0.11678725 -0.38783255 -0.29194091 -0.023660342 -0.93612270469697 -0.3910564 -0.93523445 -0.92834289 -0.98237143 -0.945198619242424 -0.93714155 -0.94908704 -0.935031700454545 -0.93748037 -0.91833941
"sitting-20-Z" "sitting" "20" "Z" -0.108369634515152 0.31386415 -0.28980224 0.34478335 -0.043734925 -0.929106396818182 -0.47443859 -0.97826544 -0.88963692 -0.97311367 -0.947597457121212 -0.97630506 -0.92833762 -0.924947175454545 -0.97860263 -0.88926111
"sitting-21-X" "sitting" "21" "X" 0.277539616823529 0.93508222 0.044907864 -1.6750206e-05 -0.099748585 -0.991777287176471 -0.90009052 -0.98929765 -0.98978614 -0.99050946 -0.990610228 -0.98785146 -0.98710946 -0.992375229411765 -0.99229011 -0.99057087
"sitting-21-Y" "sitting" "21" "Y" -0.0144009705494118 -0.076839942 -0.098558926 -0.13849413 7.0199926e-05 -0.966877560941176 -0.82243146 -0.97064453 -0.96068974 -0.98301827 -0.968060947058824 -0.96834423 -0.95424836 -0.96756129 -0.97607227 -0.96546843
"sitting-21-Z" "sitting" "21" "Z" -0.112057887741176 -0.2638734 -0.074634834 0.22099011 -0.055680555 -0.959567861764706 -0.85540915 -0.96826071 -0.95542627 -0.98379739 -0.970859342941176 -0.95726768 -0.96697613 -0.956412505058824 -0.98047948 -0.95592707
"sitting-22-X" "sitting" "22" "X" 0.273583822709677 0.67956039 0.094284811 -0.02887598 -0.083146097 -0.978466823709677 -0.9366514 -0.96501963 -0.96676071 -0.96757037 -0.978505368225806 -0.9612678 -0.95906609 -0.97862319016129 -0.97331742 -0.96913265
"sitting-22-Y" "sitting" "22" "Y" -0.0123468446419355 0.39865413 0.013203416 -0.27627763 -0.032856427 -0.928059133795645 -0.90493486 -0.92464492 -0.9576674 -0.96219364 -0.939546007903226 -0.91864004 -0.95193592 -0.926995253483871 -0.93874594 -0.96188211
"sitting-22-Z" "sitting" "22" "Z" -0.105827369516129 0.46035343 0.069060464 0.38367417 -0.080761139 -0.917564853870968 -0.89804129 -0.9548334 -0.92642694 -0.96875094 -0.946635312419355 -0.9443749 -0.93137549 -0.909344305645161 -0.96506447 -0.93136734
"sitting-23-X" "sitting" "23" "X" 0.273351251617647 0.93389026 0.088796407 -0.057294283 -0.10642758 -0.987607636617647 -0.9168328 -0.93340101 -0.98347061 -0.97533997 -0.986325670882353 -0.93437826 -0.97535706 -0.988345258235294 -0.93832363 -0.98618515
"sitting-23-Y" "sitting" "23" "Y" -0.0133945015676471 0.1646688 -0.041726756 -0.14548077 -0.065249112 -0.934933559264706 -0.87986034 -0.93157823 -0.84118841 -0.92323796 -0.953460406470588 -0.93119122 -0.85517161 -0.930781487205882 -0.9370477 -0.83412329
"sitting-23-Z" "sitting" "23" "Z" -0.103808679294118 0.13582022 -0.081126572 0.16910881 -0.052770927 -0.905584390323529 -0.5675781 -0.92781161 -0.94448723 -0.96323608 -0.942031166764706 -0.91236744 -0.94026641 -0.896125263911765 -0.94349349 -0.95089205
"sitting-24-X" "sitting" "24" "X" 0.273475690147059 0.93267331 0.073537043 0.0089768717 -0.1000281 -0.990593766617647 -0.91215878 -0.97164002 -0.97492298 -0.98532725 -0.989529506764706 -0.97117274 -0.97643978 -0.991100005441176 -0.97478168 -0.97471467
"sitting-24-Y" "sitting" "24" "Y" -0.0131255097938235 0.20994586 -0.10689447 -0.23788971 -0.064655752 -0.956255962058824 -0.76960793 -0.96940624 -0.95651747 -0.98082646 -0.962773200147059 -0.96840517 -0.95787328 -0.954998005147059 -0.97296688 -0.9558953
"sitting-24-Z" "sitting" "24" "Z" -0.103041061426471 0.12748569 -0.1334133 0.26146968 -0.045889369 -0.957056111470588 -0.67562509 -0.97034785 -0.97091202 -0.98389984 -0.966991781176471 -0.96451371 -0.96958115 -0.954402697794118 -0.97513627 -0.97387836
"sitting-25-X" "sitting" "25" "X" 0.278541482461538 0.64603822 0.13479228 -0.08322846 -0.089664867 -0.991892828615385 -0.81449349 -0.98999937 -0.98271378 -0.98725193 -0.991405498153846 -0.98962767 -0.97884849 -0.992124279384615 -0.99136572 -0.98386772
"sitting-25-Y" "sitting" "25" "Y" -0.0147696808030769 0.47652178 -0.19986157 -0.16542245 -0.015622311 -0.947457617061538 -0.57966943 -0.9644919 -0.96961239 -0.98813239 -0.959117259384615 -0.9688067 -0.97020521 -0.944842993230769 -0.9618986 -0.96935418
"sitting-25-Z" "sitting" "25" "Z" -0.109160440476923 0.40955052 -0.019249496 0.44356755 -0.049484932 -0.965139552153846 -0.89222327 -0.98424044 -0.95749709 -0.98585648 -0.974776131230769 -0.98015746 -0.96808523 -0.962090614615385 -0.98729718 -0.95806348
"sitting-26-X" "sitting" "26" "X" 0.258243530166667 0.90677456 0.092381824 -0.021486727 -0.098681282 -0.979768987948718 -0.86082066 -0.98859435 -0.98302403 -0.99123529 -0.982579546025641 -0.98921788 -0.98642068 -0.978755176794872 -0.98885189 -0.98231286
"sitting-26-Y" "sitting" "26" "Y" -0.00713364541358974 0.15520257 -0.07068692 -0.13761406 -0.01608352 -0.94079896551282 -0.78378735 -0.97300659 -0.93306273 -0.98834228 -0.954299410641026 -0.97315986 -0.95869377 -0.937783538974359 -0.97473419 -0.92140868
"sitting-26-Z" "sitting" "26" "Z" -0.0974448692333333 0.27384381 -0.12524992 0.21384223 -0.12773615 -0.950004414102564 -0.64016923 -0.98610629 -0.91268894 -0.98309 -0.967519149358974 -0.98418473 -0.90903279 -0.94478134025641 -0.98651223 -0.92173733
"sitting-27-X" "sitting" "27" "X" 0.273941302571429 0.69490658 0.19504114 -0.02738342 -0.09987042 -0.988580107714286 -0.60559754 -0.98799634 -0.99378031 -0.99372401 -0.988682108428571 -0.98776107 -0.99166505 -0.988659196428571 -0.98936647 -0.99441493
"sitting-27-Y" "sitting" "27" "Y" -0.0155269799285714 0.36060238 -0.19781948 -0.40393177 -0.018597207 -0.971579125714286 -0.6464389 -0.97785273 -0.97112087 -0.99383212 -0.974057855571429 -0.97645965 -0.97380989 -0.971266062714286 -0.98141965 -0.96963406
"sitting-27-Z" "sitting" "27" "Z" -0.105521912588571 0.44586488 -0.2695425 0.39001019 -0.064889261 -0.965858735142857 -0.44513385 -0.9862879 -0.96484585 -0.9888024 -0.974665817 -0.9850436 -0.97210295 -0.963220672571429 -0.98592275 -0.9656457
"sitting-28-X" "sitting" "28" "X" 0.276977629444444 0.85060484 0.12307306 -0.046139408 -0.1607022 -0.983272806805556 -0.89316613 -0.93735831 -0.94168165 -0.94352289 -0.979820142638889 -0.93827171 -0.90467828 -0.984956708611111 -0.94197732 -0.95502633
"sitting-28-Y" "sitting" "28" "Y" -0.0185404441258333 0.077713845 0.04105004 -0.1539242 -0.065921392 -0.939905244861111 -0.85363623 -0.91474279 -0.92946167 -0.96567011 -0.946351650416667 -0.91748905 -0.93704801 -0.939885478333333 -0.91743704 -0.92550003
"sitting-28-Z" "sitting" "28" "Z" -0.111517939555556 0.38838912 -0.13688552 0.14862318 -0.097616414 -0.936667245694444 -0.67587645 -0.96005135 -0.92407191 -0.94084728 -0.952226786666667 -0.95471182 -0.90758512 -0.9330454775 -0.96396593 -0.93723029
"sitting-29-X" "sitting" "29" "X" 0.2771799775 0.84026498 0.11522075 -0.086210278 -0.071790012 -0.9907450195 -0.8932114 -0.97637077 -0.95565231 -0.96258312 -0.991093963666667 -0.97686612 -0.93744254 -0.990617521 -0.97790488 -0.96155741
"sitting-29-Y" "sitting" "29" "Y" -0.016630680375 0.16815632 -0.26031054 -0.2549532 -0.033644468 -0.963222497833333 -0.52066833 -0.91678343 -0.97029164 -0.98150746 -0.969609501666667 -0.910262 -0.97174404 -0.961693949333333 -0.93218947 -0.96951937
"sitting-29-Z" "sitting" "29" "Z" -0.1104118192 0.39078171 -0.16863887 0.25345371 -0.070395747 -0.968063878166667 -0.72000926 -0.97472117 -0.96367279 -0.96106046 -0.975623030833333 -0.97378693 -0.95242676 -0.965800974333333 -0.97394494 -0.97154821
"sitting-3-X" "sitting" "3" "X" 0.257197599134615 0.93139929 0.027188333 -0.031288463 -0.098857243 -0.971010120961538 -0.8147095 -0.98443227 -0.98047597 -0.97664884 -0.970154440961538 -0.9818489 -0.97379003 -0.971605878461538 -0.98958764 -0.98256816
"sitting-3-Y" "sitting" "3" "Y" -0.00350299841730769 -0.026774002 -0.39576333 -0.18638331 -0.01488024 -0.856617812115385 -0.33175078 -0.92024411 -0.96260588 -0.98538887 -0.891907751346154 -0.91773496 -0.96291589 -0.8496556575 -0.92939217 -0.96257421
"sitting-3-Z" "sitting" "3" "Z" -0.0983579203269231 0.19167062 -0.31484469 0.38056143 -0.071397878 -0.875110175384615 -0.46397828 -0.97556104 -0.94940508 -0.97931497 -0.917987925384615 -0.9709162 -0.95664354 -0.864322464038462 -0.9790077 -0.95157982
"sitting-30-X" "sitting" "30" "X" 0.268336081379032 0.93652653 0.099967952 -0.048135113 -0.10537121 -0.983622744193548 -0.92797713 -0.99172341 -0.98253806 -0.99093192 -0.985008785 -0.99177121 -0.98275099 -0.983231005483871 -0.9923931 -0.98254614
"sitting-30-Y" "sitting" "30" "Y" -0.00804731295322581 -0.046098162 -0.12045934 -0.2466024 -0.069598524 -0.937857000806452 -0.78642434 -0.98279986 -0.95349499 -0.99224229 -0.954076042258065 -0.98471423 -0.96121758 -0.933992577903226 -0.98163826 -0.94944139
"sitting-30-Z" "sitting" "30" "Z" -0.099515446133871 0.26506916 -0.18535928 0.17327221 -0.036776608 -0.950654041290323 -0.67344047 -0.98717751 -0.96532586 -0.99113156 -0.966274090645161 -0.98372767 -0.97154822 -0.946203823387097 -0.98952836 -0.96636495
"sitting-4-X" "sitting" "4" "X" 0.27153827992 0.88041587 0.10456858 -0.050841477 -0.099054541 -0.980309931 -0.84030005 -0.94757785 -0.97704107 -0.97754122 -0.9774624984 -0.94616926 -0.9719161 -0.9819081892 -0.95409046 -0.97859718
"sitting-4-Y" "sitting" "4" "Y" -0.007163065158 0.24107594 -0.099250593 -0.10446239 -0.023636061 -0.89022398108 -0.67887167 -0.90392918 -0.95595734 -0.97965229 -0.9057829318 -0.90179573 -0.95917159 -0.8894673494 -0.91376614 -0.95426128
"sitting-4-Z" "sitting" "4" "Z" -0.10587459588 0.22445077 -0.048326319 0.32997898 0.0031281549 -0.9322030066 -0.86923125 -0.98599924 -0.93428067 -0.97187322 -0.9517837432 -0.98020857 -0.92346105 -0.9269993168 -0.99172661 -0.94416385
"sitting-5-X" "sitting" "5" "X" 0.273694139545455 0.74287757 0.060991034 -0.045105766 -0.077426976 -0.980945022045455 -0.80311813 -0.91518369 -0.88680953 -0.89436908 -0.977450812045455 -0.91816516 -0.86374888 -0.9825908425 -0.91949222 -0.89413797
"sitting-5-Y" "sitting" "5" "Y" -0.00990083527045455 0.37353617 -0.5186867 -0.12212518 -0.026333613 -0.904335121022727 -0.077872451 -0.84529955 -0.88960083 -0.94312555 -0.921434735681818 -0.85056386 -0.90030651 -0.9022915301 -0.84992447 -0.88411463
"sitting-5-Z" "sitting" "5" "Z" -0.108540300265909 0.30061916 0.13799389 0.41277462 0.022527145 -0.926094740227273 -0.76272479 -0.91983101 -0.83121498 -0.87788756 -0.946064216818182 -0.90925904 -0.80515085 -0.92184351 -0.92909593 -0.8560485
"sitting-6-X" "sitting" "6" "X" 0.276778487454545 0.8940333 0.08155201 0.0070966207 -0.021413263 -0.980164933636364 -0.97494635 -0.94903457 -0.88797078 -0.90691714 -0.975351454727273 -0.94444289 -0.8476078 -0.982451284727273 -0.95978191 -0.90089606
"sitting-6-Y" "sitting" "6" "Y" -0.0145911615290909 0.18798679 -0.16672323 -0.18905145 0.16342506 -0.923682131090909 -0.74119737 -0.94561849 -0.794425 -0.90234936 -0.928264365454545 -0.9385668 -0.75734509 -0.925676956 -0.96033975 -0.82249145
"sitting-6-Z" "sitting" "6" "Z" -0.110127728709091 0.25276508 -0.038832608 0.28919435 0.032705867 -0.925797097090909 -0.82961965 -0.94345832 -0.8467299 -0.93830048 -0.935798115272727 -0.92610925 -0.83668604 -0.925768475636364 -0.96313681 -0.86402452
"sitting-7-X" "sitting" "7" "X" 0.284674637291667 0.95992175 0.030440914 -0.026042168 -0.069856365 -0.972668374583333 -0.84278827 -0.95138995 -0.46818586 -0.79274188 -0.972697126875 -0.94734738 -0.61685256 -0.972879966041667 -0.96117463 -0.44567336
"sitting-7-Y" "sitting" "7" "Y" -0.01461097580375 -0.025726119 -0.17959187 -0.27529525 -0.051590476 -0.909454698541667 -0.62686057 -0.86894404 -0.81089282 -0.9326049 -0.93149063375 -0.8725993 -0.86033631 -0.904629195833333 -0.87384142 -0.78706697
"sitting-7-Z" "sitting" "7" "Z" -0.122464597625 -0.040426845 -0.32951001 0.13338195 -0.02060092 -0.8565329414375 -0.29052408 -0.9163846 -0.48706544 -0.85319342 -0.904675337916667 -0.90039485 -0.66993814 -0.844083052916667 -0.93226397 -0.48666671
"sitting-8-X" "sitting" "8" "X" 0.267491472934783 0.70604169 0.17317866 -0.07307615 -0.14517649 -0.979026152391304 -0.60414489 -0.96346969 -0.95505286 -0.97102746 -0.981142909782609 -0.95742165 -0.93317635 -0.978256730652174 -0.97554469 -0.96237525
"sitting-8-Y" "sitting" "8" "Y" -0.00672550621304348 0.32259807 -0.46750501 -0.29420627 -0.080837788 -0.927331997021739 0.014104317 -0.93818563 -0.9103357 -0.96288732 -0.94421971826087 -0.93279868 -0.91773489 -0.923829969347826 -0.9504091 -0.90654848
"sitting-8-Z" "sitting" "8" "Z" -0.104461049130435 0.40463377 -0.22723614 0.34202678 0.077698751 -0.939553030217391 -0.55619165 -0.97747372 -0.82318632 -0.95787596 -0.959436275869565 -0.97616912 -0.80461155 -0.933889846521739 -0.97709874 -0.84575506
"sitting-9-X" "sitting" "9" "X" 0.24832674354 0.96204356 0.096769587 -0.037527472 -0.11571064 -0.9572277914 -0.92175593 -0.94162654 -0.93706942 -0.94259449 -0.959413594 -0.9405093 -0.92382915 -0.956903459 -0.94832306 -0.94122776
"sitting-9-Y" "sitting" "9" "Y" -0.02701677698 0.018275623 -0.091414679 -0.1096175 -0.07873996 -0.875141405 -0.90054908 -0.95440508 -0.9385535 -0.96354169 -0.911683219 -0.95344866 -0.93643195 -0.86761360746 -0.95899166 -0.9402478
"sitting-9-Z" "sitting" "9" "Z" -0.07537846886 0.16758123 -0.12655807 0.14691781 -0.037334357 -0.83200187268 -0.7697614 -0.96411509 -0.9465426 -0.97362804 -0.8922013438 -0.95704539 -0.95158222 -0.818001834824 -0.97026047 -0.94962355
"standing-1-X" "standing" "1" "X" 0.278917629056604 0.96339614 0.077996345 -0.0061008489 -0.0991674 -0.995759901509434 -0.98524969 -0.99351906 -0.98531027 -0.99211067 -0.995249932641509 -0.99233245 -0.98657442 -0.99602834509434 -0.99582068 -0.98503264
"standing-1-Y" "standing" "1" "Y" -0.0161375901037736 -0.14083968 0.0050008031 -0.031364791 -0.055517369 -0.973190056415094 -0.98170843 -0.98835999 -0.97662344 -0.99251927 -0.977070847735849 -0.98716991 -0.98176153 -0.972293102075472 -0.99093631 -0.97388607
"standing-1-Z" "standing" "1" "Z" -0.110601817735849 0.11537494 -0.067830808 0.1077254 -0.061985797 -0.979775876981132 -0.87762497 -0.99357497 -0.99220528 -0.99205528 -0.985297098679245 -0.98969609 -0.98951478 -0.977937259622642 -0.99705167 -0.99403493
"standing-10-X" "standing" "10" "X" 0.276650300681818 0.9554414 0.081674247 -0.039946473 -0.20902339 -0.978403481818182 -0.97016849 -0.92284666 -0.71820524 -0.89039998 -0.970099814318182 -0.92439974 -0.71900295 -0.982949246136364 -0.92806863 -0.72130472
"standing-10-Y" "standing" "10" "Y" -0.0155418603409091 -0.20714443 0.041960465 -0.094059369 -0.058708011 -0.919561843409091 -0.94090353 -0.82476412 -0.938729 -0.96308128 -0.923378745227273 -0.80653755 -0.9416012 -0.921860476590909 -0.86438649 -0.93733509
"standing-10-Z" "standing" "10" "Z" -0.107964083931818 0.0644233 -0.040828431 0.2263658 -0.12859271 -0.941271440454545 -0.80036371 -0.95084362 -0.86710185 -0.91755748 -0.955272383863636 -0.93880943 -0.8528364 -0.938098683181818 -0.96304703 -0.88416672
"standing-11-X" "standing" "11" "X" 0.277715562765957 0.9373294 0.089483994 -0.08343562 -0.090029028 -0.994978878723404 -0.97613855 -0.93118764 -0.96027368 -0.93176776 -0.993808050638298 -0.92360173 -0.94024509 -0.995573762978723 -0.94785078 -0.96704272
"standing-11-Y" "standing" "11" "Y" -0.0171990886595745 -0.17051241 0.073873796 -0.13576627 -0.033743326 -0.964173331702128 -0.97547395 -0.92888695 -0.98029076 -0.97025746 -0.968703072553191 -0.91967292 -0.97377703 -0.96350679 -0.94786428 -0.98576454
"standing-11-Z" "standing" "11" "Z" -0.108686630425532 0.22273028 -0.005777146 0.076595326 -0.025793782 -0.986382712765957 -0.95850554 -0.97351379 -0.94580936 -0.96455076 -0.987669785531915 -0.96591361 -0.9385557 -0.985958517446809 -0.98088639 -0.95326658
"standing-12-X" "standing" "12" "X" 0.277405834918033 0.96876554 0.062818485 -0.050492421 -0.11071965 -0.981243992459016 -0.97865389 -0.95517324 -0.89638408 -0.94902814 -0.976469472295082 -0.95467809 -0.90451581 -0.983647207377049 -0.95985919 -0.895672
"standing-12-Y" "standing" "12" "Y" -0.0169002543196721 -0.15334716 0.030372273 -0.12095012 -0.050127624 -0.923140254098361 -0.95751389 -0.93563707 -0.96469833 -0.9673694 -0.932775677704918 -0.93360073 -0.96135445 -0.922852028360656 -0.94307279 -0.96712007
"standing-12-Z" "standing" "12" "Z" -0.105526999754098 -0.065748598 -0.11643517 0.085319559 -0.056185361 -0.920684800114754 -0.7391558 -0.97541211 -0.96258135 -0.97002771 -0.947178200163934 -0.96965576 -0.95860398 -0.914189183770492 -0.98030196 -0.96729753
"standing-13-X" "standing" "13" "X" 0.277758431052632 0.94724671 0.061045908 -0.053293101 -0.0832928 -0.991020759298246 -0.99267622 -0.92177247 -0.89354986 -0.95835516 -0.989425965614035 -0.91549789 -0.91732667 -0.991817705263158 -0.93707787 -0.88982896
"standing-13-Y" "standing" "13" "Y" -0.0167891993964912 -0.22640691 -0.0033274292 0.042810777 -0.086333957 -0.949422439473684 -0.96274354 -0.96700078 -0.88257001 -0.88519637 -0.959427618245614 -0.96707335 -0.86711221 -0.947179813157895 -0.96926153 -0.89402875
"standing-13-Z" "standing" "13" "Z" -0.112124137754386 -0.1424727 0.044647543 0.11201262 -0.050604357 -0.967538031754386 -0.89663658 -0.93717105 -0.96450448 -0.9784134 -0.97756730122807 -0.93002216 -0.96552656 -0.964048080877193 -0.94277902 -0.96722273
